likelihood,Particles,Method
-168357.91226680155,100,Twisted
-170281.56150588996,100,Twisted
-168948.46616884536,100,Twisted
-169614.59171661467,100,Twisted
-166545.21258735712,100,Twisted
-168914.10985929874,100,Twisted
-169099.07576090677,100,Twisted
-170906.03016127073,100,Twisted
-171546.5106634284,100,Twisted
-167714.02054484497,100,Twisted
-166601.86743731282,100,Twisted
-169697.6360284721,100,Twisted
-168533.26365636237,100,Twisted
-165164.78232302857,100,Twisted
-165478.89914613432,100,Twisted
-168052.7246111356,100,Twisted
-169058.0756144904,100,Twisted
-163579.81377868907,100,Twisted
-169901.06998336103,100,Twisted
-164894.56772954378,100,Twisted
-169126.68372350768,100,Twisted
-168338.80937920956,100,Twisted
-111655.9682620834,1000,Twisted
-112718.77293780685,1000,Twisted
-110167.62846226883,1000,Twisted
-112666.872213847,1000,Twisted
-111305.11361481778,1000,Twisted
-111099.05693295963,1000,Twisted
-109683.92361704093,1000,Twisted
-113543.32105880324,1000,Twisted
-112379.5277922811,1000,Twisted
-110840.33422073809,1000,Twisted
-109466.75447496101,1000,Twisted
-113708.54727397858,1000,Twisted
-112834.29418961317,1000,Twisted
-112262.39468012488,1000,Twisted
-111645.27580459078,1000,Twisted
-110757.60956768124,1000,Twisted
-111504.08115610963,1000,Twisted
-107505.84611032643,1000,Twisted
-113630.7060093486,1000,Twisted
-112671.10782277034,1000,Twisted
-108306.76148735938,1000,Twisted
-109484.58855726558,1000,Twisted
-113625.92390493755,1000,Twisted
-112590.08211118182,1000,Twisted
-110651.8868768829,1000,Twisted
-111052.76259008818,1000,Twisted
-111046.52696153281,1000,Twisted
-108468.82947246413,1000,Twisted
-110952.38408306226,1000,Twisted
-114695.94366971374,1000,Twisted
-112690.54441909608,1000,Twisted
-112315.28288378344,1000,Twisted
-110713.58631412951,1000,Twisted
-109892.98714992183,1000,Twisted
-111021.05359703004,1000,Twisted
-111978.1634365902,1000,Twisted
-107676.13768289062,1000,Twisted
-111611.0775602508,1000,Twisted
-111331.67992352728,1000,Twisted
-112330.04842019922,1000,Twisted
-111538.3255996265,1000,Twisted
-112649.58491341349,1000,Twisted
-110275.7545736403,1000,Twisted
-113411.23659710209,1000,Twisted
-111669.36186916335,1000,Twisted
-114002.6098392378,1000,Twisted
-112851.21547296214,1000,Twisted
-110117.57108345591,1000,Twisted
-113065.86946657406,1000,Twisted
-112060.93503637545,1000,Twisted
-111450.39488292056,1000,Twisted
-112076.80287480824,1000,Twisted
-111186.71965174604,1000,Twisted
-111594.77135825247,1000,Twisted
-115187.86183346053,1000,Twisted
-110398.31838115242,1000,Twisted
-111946.23828740523,1000,Twisted
-112469.63211369427,1000,Twisted
-110971.60333066824,1000,Twisted
-110753.74947302001,1000,Twisted
-117740.16696296135,1000,Twisted
-110898.91366435397,1000,Twisted
-112756.19047014821,1000,Twisted
-108894.26935069768,1000,Twisted
-109657.69483982485,1000,Twisted
-110139.32654756475,1000,Twisted
-110312.50152750983,1000,Twisted
-110459.67970652708,1000,Twisted
-111898.97184850274,1000,Twisted
-110050.30604507777,1000,Twisted
-110026.46693719324,1000,Twisted
-110786.50706021432,1000,Twisted
-113894.90096312533,1000,Twisted
-114503.68158285174,1000,Twisted
-113198.19201808359,1000,Twisted
-109219.35783961456,1000,Twisted
-110340.58499415827,1000,Twisted
-110972.36558550157,1000,Twisted
-112650.26765392626,1000,Twisted
-109053.62618295012,1000,Twisted
-111737.83445091336,1000,Twisted
-111498.37139366813,1000,Twisted
-110771.12254071023,1000,Twisted
-110291.30070744884,1000,Twisted
-111199.68334049064,1000,Twisted
-109800.2114341046,1000,Twisted
-112417.37181143422,1000,Twisted
-111072.7512854988,1000,Twisted
-112214.25276499132,1000,Twisted
-111863.03134871634,1000,Twisted
-113123.747681515,1000,Twisted
-114556.91504929944,1000,Twisted
-111085.66729067768,1000,Twisted
-112114.30294461922,1000,Twisted
-111452.45210137252,1000,Twisted
-109883.69272214247,1000,Twisted
-109813.38238730014,1000,Twisted
-109059.29118921529,1000,Twisted
-112401.25241680983,1000,Twisted
-108379.01295132878,1000,Twisted
