Particles,ll,Algorithm
100,873.1087368476032,Bootstrap
100,876.0695479354589,Bootstrap
100,879.6564552016165,Bootstrap
100,885.5276455173852,Bootstrap
100,879.7691941161171,Bootstrap
100,891.1171683373067,Bootstrap
100,876.8516809318759,Bootstrap
100,874.5299370892274,Bootstrap
100,879.5618272181645,Bootstrap
100,891.602523629822,Bootstrap
100,882.613043140143,Bootstrap
100,871.4578553095206,Bootstrap
100,875.1489348689391,Bootstrap
100,893.1931231007192,Bootstrap
100,878.28161588443,Bootstrap
100,876.0074110927243,Bootstrap
100,889.6333439396103,Bootstrap
100,884.5829197598387,Bootstrap
100,883.6506793664518,Bootstrap
100,886.3068011468547,Bootstrap
100,881.3420118992951,Bootstrap
100,869.0916044301775,Bootstrap
100,873.2378433320737,Bootstrap
100,889.0842215943737,Bootstrap
100,882.9152840389627,Bootstrap
100,877.0848363897545,Bootstrap
100,870.5783414722074,Bootstrap
100,882.2832388989699,Bootstrap
100,882.4186780234239,Bootstrap
100,886.7615772385279,Bootstrap
100,875.9178192280469,Bootstrap
100,882.0180449699287,Bootstrap
100,871.180955753558,Bootstrap
100,878.0237628059274,Bootstrap
100,875.9670985805766,Bootstrap
100,872.423614103525,Bootstrap
500,892.8528377163326,Bootstrap
500,891.4876616270786,Bootstrap
500,890.1160534772453,Bootstrap
500,890.9852735660286,Bootstrap
500,898.4487359710156,Bootstrap
500,892.6793653953044,Bootstrap
500,895.1339904243505,Bootstrap
500,890.5669588608665,Bootstrap
500,888.2298062181077,Bootstrap
500,889.9925602309484,Bootstrap
500,893.3341061217827,Bootstrap
500,893.5889845162445,Bootstrap
500,889.299236085616,Bootstrap
500,892.9590933376406,Bootstrap
500,898.8569292907711,Bootstrap
500,898.7227561321973,Bootstrap
500,889.2178818885166,Bootstrap
500,892.0128418023481,Bootstrap
500,893.9337615321936,Bootstrap
500,891.1125989426404,Bootstrap
500,891.888028687821,Bootstrap
500,899.8912124021656,Bootstrap
500,894.9817807941512,Bootstrap
500,896.0978712142125,Bootstrap
500,901.9773311633847,Bootstrap
500,890.6821984252382,Bootstrap
